 	Label	Cellcoord.X	Cellcoord.Y	area	mean.ch2	std.ch2	min.ch2	max.ch2	BGcoord.ch2.X	BGcoord.ch2.Y	bg.area.ch2	bg.mean.ch2	bg.std.ch2	bg.min.ch2	bg.max.ch2	area.ch3	mean.ch3	std.ch3	min.ch3	max.ch3	bg.area.ch3	bg.mean.ch3	bg.std.ch3	bg.min.ch3	bg.max.ch3
99	1772-062-249_F11	253	171	227.982	21.927	5.604	8	39	153	221	227.982	15.664	4.629	7	27	227.982	43.299	18.919	6	90	227.982	11.796	4.559	0	22
100	1772-062-249_F12	222	173	227.982	60.431	31.015	7	134	122	223	227.982	14.044	4.209	0	25	227.982	46.745	21.721	11	102	227.982	10.737	4.271	0	21
101	1772-062-249_G01	257	172	227.982	18.445	5.273	6	32	157	222	227.982	15.255	4.467	4	32	227.982	26.518	5.649	15	40	227.982	11.599	3.929	3	23
102	1772-062-249_G02	226	173	227.982	18.292	4.492	5	31	126	223	227.982	15.372	4.466	2	26	227.982	17.336	4.868	2	29	227.982	11.613	3.949	3	20
103	1772-062-249_G03	257	172	227.982	40.766	19.932	12	93	157	222	227.982	15.825	4.298	6	28	227.982	64.328	34.168	9	141	227.982	11.927	4.235	0	25
104	1772-062-249_G04	254	171	227.982	21.847	4.654	9	33	154	221	227.982	17.474	4.317	3	29	227.982	35.701	7.021	20	56	227.982	12.015	4.164	0	23
105	1772-062-249_G05	221	172	227.982	59.401	35.881	15	145	121	222	227.982	15.372	4.466	4	28	227.982	44.263	26.386	7	103	227.982	11.635	3.796	0	22
106	1772-062-249_G06	253	171	227.982	17.978	4.749	8	30	153	221	227.982	15.234	4.607	4	28	227.982	28.562	13.106	4	62	227.982	11.029	4.181	2	21
107	1772-062-249_G07	224	175	227.982	37.555	13.815	13	72	124	225	227.982	16.139	4.061	5	26	227.982	29.650	9.261	12	52	227.982	11.745	4.570	0	24
108	1772-062-249_G08	256	172	227.982	25.372	6.618	13	40	156	222	227.982	16.358	4.751	6	29	227.982	58.562	17.150	23	98	227.982	12.212	4.090	3	23
109	1772-062-249_G09	225	176	227.982	21.584	4.746	12	34	125	226	227.982	15.664	4.229	6	28	227.982	27.124	5.605	14	45	227.982	11.832	3.778	2	20
110	1772-062-249_G10	222	175	227.982	17.453	4.785	4	30	122	225	227.982	16.810	4.338	7	28	227.982	12.803	4.843	1	27	227.982	12.350	4.448	4	28
111	1772-062-249_G11	252	171	227.982	17.131	4.843	7	29	152	221	227.982	16.234	4.327	5	27	227.982	15.883	4.544	3	30	227.982	11.482	4.376	0	22
