"Run","Well","cell_id","low.complexity","SPIKE_1","SPIKE_4","SPIKE_7","SPIKE_3","SPIKE_6","rRNA_18S","rRNA_28S","rRNA_5.8S","Nextera","HPV","HPV_as"
"1772-062-248","H09","1772-062-248_H09",2532.92588540549,6600.66503555561,703.411264991587,76.3642198996983,0,0,1859.6300874166,79.5908770785588,0.430220957181399,122853.89653272,913.35909209611,329.334142722361
"1772-062-248","H10","1772-062-248_H10",3740.47632589574,9556.19245920368,753.733428621593,57.8653616461459,0,0,1980.03397735338,109.795814405508,4.9457574056535,117908.092990131,3287.69223540816,1176.84297467525
"1772-062-248","H11","1772-062-248_H11",3582.83551323479,11138.9565856947,768.879395011678,172.519262053865,0,0,2550.16860140526,114.864437702961,0,112280.210460143,2071.3441721435,720.79660713602
"1772-062-248","H12","1772-062-248_H12",3429.45254042445,7011.95237406869,573.181616886142,43.1377678040811,0,0,2164.68990140267,82.374780008857,0.229456211723836,110722.947686278,953.620015924261,314.813922485103
"1772-062-249","A01","1772-062-249_A01",1560.70721945667,11357.9604780017,1132.53718013085,159.394121648045,0,0,3306.29871361845,112.931057847805,0,58187.5662259989,1986.61863762553,611.763673369824
"1772-062-249","A02","1772-062-249_A02",1983.00506382945,10305.2473243607,1025.76016506666,112.223281014971,0,0,3525.77985336158,169.319336268202,0.393765898298144,57686.7041006781,2401.97197961868,777.687649138834
"1772-062-249","A03","1772-062-249_A03",2759.80334116589,14481.2197488444,1255.53967147771,103.303897020318,0,0,3709.40454839112,180.781819785557,0.397322680847378,53386.6593347388,2486.84265942374,828.020466885936
"1772-062-249","A04","1772-062-249_A04",4069.91752986028,7070.92708607043,493.829721519221,67.995224199846,0,0,2560.76929105183,102.569067013327,0.576230713558017,49340.9073098323,2213.8784014899,694.934240550969
"1772-062-249","A05","1772-062-249_A05",1409.37569374214,8685.3432327767,838.965491724427,73.0741718260526,0,0,2566.8459090797,114.390370242471,0.924989516785476,73113.3297155966,1198.47808391505,376.779063170617
"1772-062-249","A06","1772-062-249_A06",2511.51235541671,6662.59790458753,591.780755789797,43.1012932112015,0,0,2808.911278574,90.9437286756352,0.431012932112015,65963.9431821512,5139.82921543578,1559.83580131338
